# #h[nm], U[kJ/mol]
  1.299205,  0.060000
  1.301851,  0.070000
  1.304497,  0.070000
  1.307144,  0.080000
  1.309790,  0.080000
  1.312436,  0.080000
  1.315082,  0.080000
  1.317728,  0.080000
  1.320374,  0.070000
  1.323021,  0.060000
  1.325667,  0.060000
  1.328313,  0.050000
  1.330959,  0.040000
  1.333605,  0.030000
  1.336252,  0.020000
  1.338898,  0.010000
  1.341544,  0.000000
