# PEG_PHE
# Upscaled from ../surface/PEG/PHE.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  1.172000, -0.742160
  1.176000, -0.733417
  1.180000, -0.725759
  1.184000, -0.716299
  1.188000, -0.707886
  1.192000, -0.696397
  1.196000, -0.679587
  1.200000, -0.668945
  1.204000, -0.660948
  1.208000, -0.647241
  1.212000, -0.637598
  1.216000, -0.629787
  1.220000, -0.621238
  1.224000, -0.612072
  1.228000, -0.600807
  1.232000, -0.592699
  1.236000, -0.582349
  1.240000, -0.569891
  1.244000, -0.562224
  1.248000, -0.552857
  1.252000, -0.543060
  1.256000, -0.535680
  1.260000, -0.526756
  1.264000, -0.517310
  1.268000, -0.508322
  1.272000, -0.496271
  1.276000, -0.483155
  1.280000, -0.474260
  1.284000, -0.461806
  1.288000, -0.445042
  1.292000, -0.432038
  1.296000, -0.419104
  1.300000, -0.403068
  1.304000, -0.386051
  1.308000, -0.371917
  1.312000, -0.357947
  1.316000, -0.343704
  1.320000, -0.331608
  1.324000, -0.319189
  1.328000, -0.309644
  1.332000, -0.301506
  1.336000, -0.292789
  1.340000, -0.282398
  1.344000, -0.267288
  1.348000, -0.253579
  1.352000, -0.240408
  1.356000, -0.225431
  1.360000, -0.212975
  1.364000, -0.202753
  1.368000, -0.194661
  1.372000, -0.186701
  1.376000, -0.177527
  1.380000, -0.168670
  1.384000, -0.158139
  1.388000, -0.149396
  1.392000, -0.142226
  1.396000, -0.132369
  1.400000, -0.122280
  1.404000, -0.113860
  1.408000, -0.106143
  1.412000, -0.100613
  1.416000, -0.096360
  1.420000, -0.091740
  1.424000, -0.086273
  1.428000, -0.081900
  1.432000, -0.077933
  1.436000, -0.073259
  1.440000, -0.068097
  1.444000, -0.063625
  1.448000, -0.058432
  1.452000, -0.053133
  1.456000, -0.047781
  1.460000, -0.042942
  1.464000, -0.037199
  1.468000, -0.032204
  1.472000, -0.028469
  1.476000, -0.021239
  1.480000, -0.015293
  1.484000, -0.009706
  1.488000, -0.005312
  1.492000, -0.002475
  1.496000, -0.000485
  1.500000,  0.000000
  1.504000,  0.000000
  1.508000,  0.000000
