# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.716000, -0.666332
  0.717000, -0.666827
  0.718000, -0.667322
  0.719000, -0.671119
  0.720000, -0.674916
  0.721000, -0.679792
  0.722000, -0.684669
  0.723000, -0.692904
  0.724000, -0.701138
  0.725000, -0.711318
  0.726000, -0.721498
  0.727000, -0.731476
  0.728000, -0.741453
  0.729000, -0.752923
  0.730000, -0.764392
  0.731000, -0.774635
  0.732000, -0.784877
  0.733000, -0.793391
  0.734000, -0.801904
  0.735000, -0.809264
  0.736000, -0.816624
  0.737000, -0.820856
  0.738000, -0.825088
  0.739000, -0.825836
  0.740000, -0.826583
  0.741000, -0.824515
  0.742000, -0.822446
  0.743000, -0.816264
  0.744000, -0.810083
  0.745000, -0.802141
  0.746000, -0.794199
  0.747000, -0.785664
  0.748000, -0.777129
  0.749000, -0.768595
  0.750000, -0.760061
  0.751000, -0.749876
  0.752000, -0.739691
  0.753000, -0.730978
  0.754000, -0.722265
  0.755000, -0.713647
  0.756000, -0.705029
  0.757000, -0.697751
  0.758000, -0.690473
  0.759000, -0.684564
  0.760000, -0.678656
  0.761000, -0.673921
  0.762000, -0.669187
  0.763000, -0.663687
  0.764000, -0.658188
  0.765000, -0.653679
  0.766000, -0.649169
  0.767000, -0.643331
  0.768000, -0.637493
  0.769000, -0.631567
  0.770000, -0.625640
  0.771000, -0.618406
  0.772000, -0.611172
  0.773000, -0.603282
  0.774000, -0.595392
  0.775000, -0.586752
  0.776000, -0.578111
  0.777000, -0.569665
  0.778000, -0.561218
  0.779000, -0.556442
  0.780000, -0.551667
  0.781000, -0.546140
  0.782000, -0.540612
  0.783000, -0.535420
  0.784000, -0.530228
  0.785000, -0.523543
  0.786000, -0.516857
  0.787000, -0.511537
  0.788000, -0.506216
  0.789000, -0.504043
  0.790000, -0.501869
  0.791000, -0.498326
  0.792000, -0.494783
  0.793000, -0.492026
  0.794000, -0.489269
  0.795000, -0.483832
  0.796000, -0.478394
  0.797000, -0.476485
  0.798000, -0.474575
  0.799000, -0.473807
  0.800000, -0.473040
  0.801000, -0.471640
  0.802000, -0.470240
  0.803000, -0.468867
  0.804000, -0.467495
  0.805000, -0.466783
  0.806000, -0.466071
  0.807000, -0.463792
  0.808000, -0.461513
  0.809000, -0.460629
  0.810000, -0.459746
  0.811000, -0.456329
  0.812000, -0.452912
  0.813000, -0.446892
  0.814000, -0.440872
  0.815000, -0.433281
  0.816000, -0.425690
  0.817000, -0.419091
  0.818000, -0.412492
  0.819000, -0.402356
  0.820000, -0.392221
  0.821000, -0.381611
  0.822000, -0.371002
  0.823000, -0.358091
  0.824000, -0.345180
  0.825000, -0.332426
  0.826000, -0.319673
  0.827000, -0.307590
  0.828000, -0.295506
  0.829000, -0.286058
  0.830000, -0.276611
  0.831000, -0.266747
  0.832000, -0.256883
  0.833000, -0.249229
  0.834000, -0.241576
  0.835000, -0.236203
  0.836000, -0.230830
  0.837000, -0.227187
  0.838000, -0.223544
  0.839000, -0.215142
  0.840000, -0.206741
  0.841000, -0.201285
  0.842000, -0.195828
  0.843000, -0.189104
  0.844000, -0.182380
  0.845000, -0.171460
  0.846000, -0.160541
  0.847000, -0.148377
  0.848000, -0.136213
  0.849000, -0.123302
  0.850000, -0.110391
  0.851000, -0.097559
  0.852000, -0.084727
  0.853000, -0.069031
  0.854000, -0.053334
  0.855000, -0.042554
  0.856000, -0.031774
  0.857000, -0.022054
  0.858000, -0.012334
  0.859000, -0.008635
  0.860000, -0.004936
  0.861000, -0.004378
  0.862000, -0.003820
  0.863000, -0.003345
  0.864000, -0.002871
  0.865000, -0.004720
  0.866000, -0.006568
  0.867000, -0.004461
  0.868000, -0.002353
  0.869000,  0.000128
  0.870000,  0.002610
  0.871000,  0.006797
  0.872000,  0.010984
  0.873000,  0.016766
  0.874000,  0.022548
  0.875000,  0.029554
  0.876000,  0.036561
  0.877000,  0.046606
  0.878000,  0.056650
  0.879000,  0.066721
  0.880000,  0.076791
  0.881000,  0.085275
  0.882000,  0.093759
  0.883000,  0.101471
  0.884000,  0.109183
  0.885000,  0.117450
  0.886000,  0.125717
  0.887000,  0.133040
  0.888000,  0.140362
  0.889000,  0.147830
  0.890000,  0.155298
  0.891000,  0.161365
  0.892000,  0.167433
  0.893000,  0.172035
  0.894000,  0.176637
  0.895000,  0.182265
  0.896000,  0.187892
  0.897000,  0.194187
  0.898000,  0.200481
  0.899000,  0.205037
  0.900000,  0.209593
  0.901000,  0.215174
  0.902000,  0.220755
  0.903000,  0.222131
  0.904000,  0.223506
  0.905000,  0.225857
  0.906000,  0.228207
  0.907000,  0.232452
  0.908000,  0.236697
  0.909000,  0.239768
  0.910000,  0.242840
  0.911000,  0.243230
  0.912000,  0.243621
  0.913000,  0.245516
  0.914000,  0.247412
  0.915000,  0.249321
  0.916000,  0.251230
  0.917000,  0.254729
  0.918000,  0.258229
  0.919000,  0.259320
  0.920000,  0.260411
  0.921000,  0.260337
  0.922000,  0.260262
  0.923000,  0.263776
  0.924000,  0.267290
  0.925000,  0.268520
  0.926000,  0.269751
  0.927000,  0.269928
  0.928000,  0.270105
  0.929000,  0.269650
  0.930000,  0.269196
  0.931000,  0.267002
  0.932000,  0.264809
  0.933000,  0.262729
  0.934000,  0.260650
  0.935000,  0.257151
  0.936000,  0.253653
  0.937000,  0.250283
  0.938000,  0.246913
  0.939000,  0.239714
  0.940000,  0.232515
  0.941000,  0.223868
  0.942000,  0.215220
  0.943000,  0.207676
  0.944000,  0.200132
  0.945000,  0.191270
  0.946000,  0.182408
  0.947000,  0.173178
  0.948000,  0.163948
  0.949000,  0.155121
  0.950000,  0.146295
  0.951000,  0.138925
  0.952000,  0.131554
  0.953000,  0.124818
  0.954000,  0.118082
  0.955000,  0.112512
  0.956000,  0.106943
  0.957000,  0.100206
  0.958000,  0.093470
  0.959000,  0.087045
  0.960000,  0.080621
  0.961000,  0.074736
  0.962000,  0.068851
  0.963000,  0.061574
  0.964000,  0.054298
  0.965000,  0.049591
  0.966000,  0.044884
  0.967000,  0.038800
  0.968000,  0.032715
  0.969000,  0.027223
  0.970000,  0.021731
  0.971000,  0.015516
  0.972000,  0.009300
  0.973000,  0.003100
  0.974000, -0.003100
  0.975000, -0.009002
  0.976000, -0.014905
  0.977000, -0.015760
  0.978000, -0.016616
  0.979000, -0.013350
  0.980000, -0.010084
  0.981000, -0.007142
  0.982000, -0.004201
  0.983000, -0.000392
  0.984000,  0.003416
  0.985000,  0.009995
  0.986000,  0.016574
  0.987000,  0.022226
  0.988000,  0.027879
  0.989000,  0.031965
  0.990000,  0.036052
  0.991000,  0.036618
  0.992000,  0.037184
  0.993000,  0.036299
  0.994000,  0.035414
  0.995000,  0.029609
  0.996000,  0.023804
  0.997000,  0.016985
  0.998000,  0.010166
  0.999000,  0.005083
  1.000000,  0.000000
  1.001000,  0.000000
  1.002000,  0.000000
  1.003000,  0.000000
  1.004000,  0.000000
  1.005000,  0.000000
  1.006000,  0.000000
  1.007000,  0.000000
  1.008000,  0.000000
  1.009000,  0.000000
  1.010000,  0.000000
  1.011000,  0.000000
  1.012000,  0.000000
  1.013000,  0.000000
  1.014000,  0.000000
  1.015000,  0.000000
  1.016000,  0.000000
  1.017000,  0.000000
  1.018000,  0.000000
  1.019000,  0.000000
  1.020000,  0.000000
  1.021000,  0.000000
  1.022000,  0.000000
  1.023000,  0.000000
  1.024000,  0.000000
  1.025000,  0.000000
  1.026000,  0.000000
  1.027000,  0.000000
  1.028000,  0.000000
  1.029000,  0.000000
  1.030000,  0.000000
  1.031000,  0.000000
  1.032000,  0.000000
  1.033000,  0.000000
  1.034000,  0.000000
  1.035000,  0.000000
  1.036000,  0.000000
  1.037000,  0.000000
  1.038000,  0.000000
  1.039000,  0.000000
  1.040000,  0.000000
  1.041000,  0.000000
  1.042000,  0.000000
  1.043000,  0.000000
  1.044000,  0.000000
  1.045000,  0.000000
  1.046000,  0.000000
  1.047000,  0.000000
  1.048000,  0.000000
  1.049000,  0.000000
  1.050000,  0.000000
  1.051000,  0.000000
  1.052000,  0.000000
  1.053000,  0.000000
  1.054000,  0.000000
  1.055000,  0.000000
  1.056000,  0.000000
  1.057000,  0.000000
  1.058000,  0.000000
  1.059000,  0.000000
  1.060000,  0.000000
  1.061000,  0.000000
  1.062000,  0.000000
  1.063000,  0.000000
  1.064000,  0.000000
  1.065000,  0.000000
  1.066000,  0.000000
  1.067000,  0.000000
  1.068000,  0.000000
  1.069000,  0.000000
  1.070000,  0.000000
  1.071000,  0.000000
  1.072000,  0.000000
  1.073000,  0.000000
  1.074000,  0.000000
  1.075000,  0.000000
  1.076000,  0.000000
  1.077000,  0.000000
  1.078000,  0.000000
  1.079000,  0.000000
  1.080000,  0.000000
  1.081000,  0.000000
  1.082000,  0.000000
  1.083000,  0.000000
  1.084000,  0.000000
  1.085000,  0.000000
  1.086000,  0.000000
  1.087000,  0.000000
  1.088000,  0.000000
  1.089000,  0.000000
  1.090000,  0.000000
  1.091000,  0.000000
  1.092000,  0.000000
  1.093000,  0.000000
  1.094000,  0.000000
  1.095000,  0.000000
  1.096000,  0.000000
  1.097000,  0.000000
  1.098000,  0.000000
  1.099000,  0.000000
  1.100000,  0.000000
  1.101000,  0.000000
  1.102000,  0.000000
  1.103000,  0.000000
  1.104000,  0.000000
  1.105000,  0.000000
  1.106000,  0.000000
  1.107000,  0.000000
  1.108000,  0.000000
  1.109000,  0.000000
  1.110000,  0.000000
  1.111000,  0.000000
  1.112000,  0.000000
  1.113000,  0.000000
  1.114000,  0.000000
  1.115000,  0.000000
  1.116000,  0.000000
  1.117000,  0.000000
  1.118000,  0.000000
  1.119000,  0.000000
  1.120000,  0.000000
  1.121000,  0.000000
  1.122000,  0.000000
  1.123000,  0.000000
  1.124000,  0.000000
  1.125000,  0.000000
  1.126000,  0.000000
  1.127000,  0.000000
  1.128000,  0.000000
  1.129000,  0.000000
  1.130000,  0.000000
  1.131000,  0.000000
  1.132000,  0.000000
  1.133000,  0.000000
  1.134000,  0.000000
  1.135000,  0.000000
  1.136000,  0.000000
  1.137000,  0.000000
  1.138000,  0.000000
  1.139000,  0.000000
  1.140000,  0.000000
  1.141000,  0.000000
  1.142000,  0.000000
  1.143000,  0.000000
  1.144000,  0.000000
  1.145000,  0.000000
  1.146000,  0.000000
  1.147000,  0.000000
  1.148000,  0.000000
  1.149000,  0.000000
  1.150000,  0.000000
  1.151000,  0.000000
  1.152000,  0.000000
  1.153000,  0.000000
  1.154000,  0.000000
  1.155000,  0.000000
  1.156000,  0.000000
  1.157000,  0.000000
  1.158000,  0.000000
  1.159000,  0.000000
  1.160000,  0.000000
  1.161000,  0.000000
  1.162000,  0.000000
  1.163000,  0.000000
  1.164000,  0.000000
  1.165000,  0.000000
  1.166000,  0.000000
  1.167000,  0.000000
  1.168000,  0.000000
  1.169000,  0.000000
  1.170000,  0.000000
  1.171000,  0.000000
  1.172000,  0.000000
  1.173000,  0.000000
  1.174000,  0.000000
  1.175000,  0.000000
  1.176000,  0.000000
  1.177000,  0.000000
  1.178000,  0.000000
  1.179000,  0.000000
  1.180000,  0.000000
  1.181000,  0.000000
  1.182000,  0.000000
  1.183000,  0.000000
  1.184000,  0.000000
  1.185000,  0.000000
  1.186000,  0.000000
  1.187000,  0.000000
  1.188000,  0.000000
  1.189000,  0.000000
  1.190000,  0.000000
  1.191000,  0.000000
  1.192000,  0.000000
  1.193000,  0.000000
  1.194000,  0.000000
  1.195000,  0.000000
  1.196000,  0.000000
  1.197000,  0.000000
  1.198000,  0.000000
  1.199000,  0.000000
  1.200000,  0.000000
  1.201000,  0.000000
  1.202000,  0.000000
  1.203000,  0.000000
  1.204000,  0.000000
  1.205000,  0.000000
  1.206000,  0.000000
  1.207000,  0.000000
  1.208000,  0.000000
  1.209000,  0.000000
  1.210000,  0.000000
  1.211000,  0.000000
  1.212000,  0.000000
  1.213000,  0.000000
  1.214000,  0.000000
  1.215000,  0.000000
  1.216000,  0.000000
  1.217000,  0.000000
  1.218000,  0.000000
  1.219000,  0.000000
  1.220000,  0.000000
  1.221000,  0.000000
  1.222000,  0.000000
  1.223000,  0.000000
  1.224000,  0.000000
  1.225000,  0.000000
  1.226000,  0.000000
  1.227000,  0.000000
  1.228000,  0.000000
  1.229000,  0.000000
  1.230000,  0.000000
  1.231000,  0.000000
  1.232000,  0.000000
  1.233000,  0.000000
  1.234000,  0.000000
  1.235000,  0.000000
  1.236000,  0.000000
