# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos CYS and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  1.130597, -4.570771
  1.132296, -4.720788
  1.133994, -4.882118
  1.135692, -5.057782
  1.137390, -5.236257
  1.139088, -5.413555
  1.140787, -5.580799
  1.142485, -5.732666
  1.144183, -5.868259
  1.145881, -5.977351
  1.147579, -6.057331
  1.149277, -6.105984
  1.150976, -6.125093
  1.152674, -6.111199
  1.154372, -6.063279
  1.156070, -5.980293
  1.157768, -5.862979
  1.159467, -5.710526
  1.161165, -5.528334
  1.162863, -5.317503
  1.164561, -5.078639
  1.166259, -4.817497
  1.167958, -4.535959
  1.169656, -4.239246
  1.171354, -3.929428
  1.173052, -3.610635
  1.174750, -3.287434
  1.176449, -2.961903
  1.178147, -2.633619
  1.179845, -2.310322
  1.181543, -1.990374
  1.183241, -1.675643
  1.184940, -1.372756
  1.186638, -1.080982
  1.188336, -0.798021
  1.190034, -0.525550
  1.191732, -0.274800
  1.193431, -0.038607
  1.195129,  0.182752
  1.196827,  0.382278
  1.198525,  0.563941
  1.200223,  0.730759
  1.201922,  0.878495
  1.203620,  1.005012
  1.205318,  1.114353
  1.207016,  1.206662
  1.208714,  1.280936
  1.210413,  1.338717
  1.212111,  1.379161
  1.213809,  1.405942
  1.215507,  1.421018
  1.217205,  1.419060
  1.218904,  1.410756
  1.220602,  1.392959
  1.222300,  1.368586
  1.223998,  1.340829
  1.225696,  1.307764
  1.227395,  1.274340
  1.229093,  1.239090
  1.230791,  1.205954
  1.232489,  1.171117
  1.234187,  1.136842
  1.235886,  1.104706
  1.237584,  1.075561
  1.239282,  1.048598
  1.240980,  1.025022
  1.242678,  1.002482
  1.244377,  0.982723
  1.246075,  0.964272
  1.247773,  0.947027
  1.249471,  0.932748
  1.251169,  0.920576
  1.252868,  0.908886
  1.254566,  0.896694
  1.256264,  0.886483
  1.257962,  0.873157
  1.259660,  0.855636
  1.261359,  0.841312
  1.263057,  0.822873
  1.264755,  0.801296
  1.266453,  0.776892
  1.268151,  0.748894
  1.269850,  0.715868
  1.271548,  0.678510
  1.273246,  0.637147
  1.274944,  0.587008
  1.276642,  0.532215
  1.278341,  0.469199
  1.280039,  0.401459
  1.281737,  0.323544
  1.283435,  0.235935
  1.285133,  0.142530
  1.286832,  0.039132
  1.288530, -0.069122
  1.290228, -0.183512
  1.291926, -0.300039
  1.293624, -0.425304
  1.295323, -0.553932
  1.297021, -0.685069
  1.298719, -0.814225
  1.300417, -0.942207
  1.302115, -1.069059
  1.303814, -1.190807
  1.305512, -1.310967
  1.307210, -1.423046
  1.308908, -1.525798
  1.310606, -1.621881
  1.312305, -1.710027
  1.314003, -1.790815
  1.315701, -1.864254
  1.317399, -1.931227
  1.319097, -1.990126
  1.320796, -2.038850
  1.322494, -2.087495
  1.324192, -2.130560
  1.325890, -2.169663
  1.327588, -2.205437
  1.329286, -2.237952
  1.330985, -2.269681
  1.332683, -2.298659
  1.334381, -2.321812
  1.336079, -2.340716
  1.337777, -2.355522
  1.339476, -2.358776
  1.341174, -2.355234
  1.342872, -2.342834
  1.344570, -2.319232
  1.346268, -2.288041
  1.347967, -2.249159
  1.349665, -2.204378
  1.351363, -2.153569
  1.353061, -2.096682
  1.354759, -2.038226
  1.356458, -1.975820
  1.358156, -1.913251
  1.359854, -1.851620
  1.361552, -1.787570
  1.363250, -1.726855
  1.364949, -1.666845
  1.366647, -1.610110
  1.368345, -1.560588
  1.370043, -1.516052
  1.371741, -1.474748
  1.373440, -1.438785
  1.375138, -1.408122
  1.376836, -1.383500
  1.378534, -1.364586
  1.380232, -1.349678
  1.381931, -1.338095
  1.383629, -1.330168
  1.385327, -1.328202
  1.387025, -1.325281
  1.388723, -1.325729
  1.390422, -1.329332
  1.392120, -1.331645
  1.393818, -1.333048
  1.395516, -1.332979
  1.397214, -1.329887
  1.398913, -1.322515
  1.400611, -1.312730
  1.402309, -1.303086
  1.404007, -1.285590
  1.405705, -1.267242
  1.407404, -1.249473
  1.409102, -1.228655
  1.410800, -1.207291
  1.412498, -1.184927
  1.414196, -1.161873
  1.415895, -1.140701
  1.417593, -1.125081
  1.419291, -1.108526
  1.420989, -1.095096
  1.422687, -1.085929
  1.424386, -1.079430
  1.426084, -1.077372
  1.427782, -1.077860
  1.429480, -1.084405
  1.431178, -1.092417
  1.432877, -1.101713
  1.434575, -1.113067
  1.436273, -1.125468
  1.437971, -1.136604
  1.439669, -1.148419
  1.441368, -1.157863
  1.443066, -1.161193
  1.444764, -1.160615
  1.446462, -1.155627
  1.448160, -1.146986
  1.449859, -1.134560
  1.451557, -1.117025
  1.453255, -1.097676
  1.454953, -1.074681
  1.456651, -1.049082
  1.458350, -1.023250
  1.460048, -0.995895
  1.461746, -0.966346
  1.463444, -0.935524
  1.465142, -0.897713
  1.466841, -0.862015
  1.468539, -0.822295
  1.470237, -0.781113
  1.471935, -0.737082
  1.473633, -0.692084
  1.475332, -0.644568
  1.477030, -0.597100
  1.478728, -0.545464
  1.480426, -0.495812
  1.482124, -0.446742
  1.483823, -0.398365
  1.485521, -0.352947
  1.487219, -0.306213
  1.488917, -0.261920
  1.490615, -0.222501
  1.492314, -0.185015
  1.494012, -0.149089
  1.495710, -0.118623
  1.497408, -0.088356
  1.499106, -0.062222
  1.500804, -0.038325
  1.502503, -0.018415
  1.504201,  0.000000
