,,z/nm,(kJ/mol),E/ kbT,density,,,,,
,,0.84,3.89954,1.559816,0.2101747398,,,,,
,,0.842,3.85506,1.542024,0.2139476329,,,,,
,,0.844,3.80256,1.521024,0.2184880406,,,,,
,,0.846,3.75292,1.501168,0.2228696963,,,,,
,,0.848,3.70677,1.482708,0.2270220794,,,,,
,,0.85,3.66899,1.467596,0.230478891,,,,,
,,0.852,3.63851,1.455404,0.2333060892,,,,,
,,0.854,3.61961,1.447844,0.2350765672,,,,,
,,0.856,3.60553,1.442212,0.2364042537,,,,,
,,0.858,3.59439,1.437756,0.2374600215,,,,,
,,0.86,3.59075,1.4363,0.2378060152,,,,,
,,0.862,3.57911,1.431644,0.2389158216,,,,,
,,0.864,3.56447,1.425788,0.2403190172,,,,,
,,0.866,3.53982,1.415928,0.242700283,,,,,
,,0.868,3.51426,1.405704,0.2451943788,,,,,
,,0.87,3.48146,1.392584,0.2484325249,,,,,
,,0.872,3.44046,1.376184,0.2525404109,,,,,
,,0.874,3.40455,1.36182,0.2561940792,,,,,
,,0.876,3.36289,1.345156,0.2604990668,,,,,
,,0.878,3.33086,1.332344,0.2638580526,,,,,
,,0.88,3.30145,1.32058,0.2669804084,,,,,
,,0.882,3.27546,1.310184,0.2697704141,,,,,
,,0.884,3.25508,1.302032,0.2719785707,,,,,
,,0.886,3.23415,1.29366,0.2742651335,,,,,
,,0.888,3.21593,1.286372,0.2762712793,,,,,
,,0.89,3.19095,1.27638,0.2790456194,,,,,
,,0.892,3.1585,1.2634,0.2826912405,,,,,
,,0.894,3.11374,1.245496,0.2877981249,,,,,
,,0.896,3.05572,1.222288,0.2945554525,,,,,
,,0.898,2.99376,1.197504,0.3019469317,,,,,
,,0.9,2.92825,1.1713,0.3099637264,,,,,
,,0.902,2.86673,1.146692,0.3176859382,,,,,
,,0.904,2.79969,1.119876,0.3263202558,,,,,
,,0.906,2.73453,1.093812,0.3349372762,,,,,
,,0.908,2.66996,1.067984,0.3437007201,,,,,
,,0.91,2.60606,1.042424,0.3525989454,,,,,
,,0.912,2.54403,1.017612,0.3614570699,,,,,
,,0.914,2.48176,0.992704,0.3705733048,,,,,
,,0.916,2.41543,0.966172,0.380536949,,,,,
,,0.918,2.34217,0.936868,0.3918531997,,,,,
,,0.92,2.26275,0.9051,0.4045014329,,,,,
,,0.922,2.17728,0.870912,0.4185696396,,,,,
,,0.924,2.08403,0.833612,0.4344771173,,,,,
,,0.926,1.98376,0.793504,0.452257306,,,,,
,,0.928,1.88608,0.754432,0.4702776566,,,,,
,,0.93,1.79185,0.71674,0.4883416576,,,,,
,,0.932,1.69377,0.677508,0.5078810563,,,,,
,,0.934,1.60401,0.641604,0.5264473249,,,,,
,,0.936,1.51173,0.604692,0.5462426435,,,,,
,,0.938,1.42873,0.571492,0.5646823039,,,,,
,,0.94,1.34586,0.538344,0.583714083,,,,,
,,0.942,1.2677,0.50708,0.6022515884,,,,,
,,0.944,1.19457,0.477828,0.62012885,,,,,
,,0.946,1.12484,0.449936,0.6376689611,,,,,
,,0.948,1.04771,0.419084,0.6576489504,,,,,
,,0.95,0.97409,0.389636,0.6773033681,,,,,
,,0.952,0.89437,0.357748,0.6992492636,,,,,
,,0.954,0.81073,0.324292,0.7230390841,,,,,
,,0.956,0.71658,0.286632,0.750787968,,,,,
,,0.958,0.62301,0.249204,0.7794209553,,,,,
,,0.96,0.52575,0.2103,0.8103411072,,,,,
,,0.962,0.42596,0.170384,0.8433409115,,,,,
,,0.964,0.32962,0.131848,0.876474209,,,,,
,,0.966,0.2345,0.0938,0.910464837,,,,,
,,0.968,0.14434,0.057736,0.9438991039,,,,,
,,0.97,0.06306,0.025224,0.9750914671,,,,,
,,0.972,-0.00967,-0.003868,1.0038754904,,,,,
,,0.974,-0.07747,-0.030988,1.0314731261,,,,,
,,0.976,-0.14072,-0.056288,1.0579023157,,,,,
,,0.978,-0.18968,-0.075872,1.0788244758,,,,,
,,0.98,-0.23725,-0.0949,1.0995488947,,,,,
,,0.982,-0.26689,-0.106756,1.1126627316,,,,,
,,0.984,-0.30939,-0.123756,1.1317396928,,,,,
,,0.986,-0.35073,-0.140292,1.1506097278,,,,,
,,0.988,-0.38899,-0.155596,1.1683540927,,,,,
,,0.99,-0.42722,-0.170888,1.1863578695,,,,,
,,0.992,-0.4637,-0.18548,1.2037961236,,,,,
,,0.994,-0.50408,-0.201632,1.2233977149,,,,,
,,0.996,-0.54297,-0.217188,1.2425776848,,,,,
