# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.606000, -2.018575
  0.607000, -2.019129
  0.608000, -2.019503
  0.609000, -2.019878
  0.610000, -2.019851
  0.611000, -2.019825
  0.612000, -2.019181
  0.613000, -2.018537
  0.614000, -2.017572
  0.615000, -2.016607
  0.616000, -2.015062
  0.617000, -2.013517
  0.618000, -2.011873
  0.619000, -2.010229
  0.620000, -2.007764
  0.621000, -2.005299
  0.622000, -2.002655
  0.623000, -2.000011
  0.624000, -1.996447
  0.625000, -1.992883
  0.626000, -1.989319
  0.627000, -1.985755
  0.628000, -1.981772
  0.629000, -1.977788
  0.630000, -1.973644
  0.631000, -1.969500
  0.632000, -1.964516
  0.633000, -1.959533
  0.634000, -1.954549
  0.635000, -1.949565
  0.636000, -1.943761
  0.637000, -1.937956
  0.638000, -1.932294
  0.639000, -1.926631
  0.640000, -1.920246
  0.641000, -1.913861
  0.642000, -1.907378
  0.643000, -1.900894
  0.644000, -1.894090
  0.645000, -1.887285
  0.646000, -1.879882
  0.647000, -1.872478
  0.648000, -1.864853
  0.649000, -1.857228
  0.650000, -1.849324
  0.651000, -1.841421
  0.652000, -1.833295
  0.653000, -1.825170
  0.654000, -1.816866
  0.655000, -1.808561
  0.656000, -1.799837
  0.657000, -1.791113
  0.658000, -1.781987
  0.659000, -1.772862
  0.660000, -1.763736
  0.661000, -1.754611
  0.662000, -1.745264
  0.663000, -1.735916
  0.664000, -1.726390
  0.665000, -1.716864
  0.666000, -1.707016
  0.667000, -1.697169
  0.668000, -1.687001
  0.669000, -1.676832
  0.670000, -1.666565
  0.671000, -1.656298
  0.672000, -1.645951
  0.673000, -1.635604
  0.674000, -1.625034
  0.675000, -1.614465
  0.676000, -1.604037
  0.677000, -1.593610
  0.678000, -1.582942
  0.679000, -1.572273
  0.680000, -1.561204
  0.681000, -1.550135
  0.682000, -1.539245
  0.683000, -1.528354
  0.684000, -1.516884
  0.685000, -1.505414
  0.686000, -1.494122
  0.687000, -1.482831
  0.688000, -1.471540
  0.689000, -1.460249
  0.690000, -1.448556
  0.691000, -1.436864
  0.692000, -1.425492
  0.693000, -1.414121
  0.694000, -1.402108
  0.695000, -1.390095
  0.696000, -1.378402
  0.697000, -1.366710
  0.698000, -1.355036
  0.699000, -1.343362
  0.700000, -1.331547
  0.701000, -1.319732
  0.702000, -1.307737
  0.703000, -1.295743
  0.704000, -1.283828
  0.705000, -1.271914
  0.706000, -1.259697
  0.707000, -1.247481
  0.708000, -1.235665
  0.709000, -1.223850
  0.710000, -1.211954
  0.711000, -1.200059
  0.712000, -1.187941
  0.713000, -1.175824
  0.714000, -1.163607
  0.715000, -1.151391
  0.716000, -1.139594
  0.717000, -1.127797
  0.718000, -1.115698
  0.719000, -1.103599
  0.720000, -1.091482
  0.721000, -1.079364
  0.722000, -1.067345
  0.723000, -1.055327
  0.724000, -1.042907
  0.725000, -1.030487
  0.726000, -1.018567
  0.727000, -1.006648
  0.728000, -0.994728
  0.729000, -0.982808
  0.730000, -0.971209
  0.731000, -0.959610
  0.732000, -0.947610
  0.733000, -0.935610
  0.734000, -0.923789
  0.735000, -0.911969
  0.736000, -0.900148
  0.737000, -0.888327
  0.738000, -0.876525
  0.739000, -0.864722
  0.740000, -0.853000
  0.741000, -0.841278
  0.742000, -0.829877
  0.743000, -0.818476
  0.744000, -0.806853
  0.745000, -0.795230
  0.746000, -0.783928
